"text","isPositive"
"27.09.19 через сайт в разделе ""Рефинансирование сторонних кредитов"" заполнила заявку на рефинансирование кредита, указав банк и сумму задолженности того кредита, который хочу закрыть. Следом поступил звонок мне, обзвонили все оставленные контакты - приходит смс с одобрением заявки на кредит (дословно!):"" Заявка на кредит одобрена! Пожалуйста, дождитесь звонка сотрудника."" На следующий день звонок из банка, сотрудник радостно сообщает, что банк одобрил ранее оставленную заявку на рефинансирование, озвучил ставку (устроила) и сумму.. Сумма почему то оказалась на 35000 меньше, чем указанная в заявке (которая собственно и составляет сумму задолженности - больше не запрашивала!) На логичный вопрос - почему? - сотрудник Алексей вразумительного ответа предоставить не мог, лишь постоянно требовал ответ - есть ли другие продукты, которые я могу рефинансировать. Я прокомментировала, что у меня имеется также карта Альфа-банк с 100дней ЛП, которым я успешно пользуюсь, и переводить на выплаты с %% в банк тинькофф карту, за которую я ничего (кроме годового банковского обслуживания) - желания никакого не имею. По итогу, я согласилась на получение одобренной суммы - пусть ее и не достаточно для полного закрытия указанного кредита (решив добавить свои средства =35000 ,тем более, что есть срок ддя закрытия в 2 мес) - и тут самое забавное! - сотрудник Алексей мне сообщает, что БАНК НЕ МОЖЕТ ВЫДАТЬ МНЕ И ЭТИ СРЕДСТВА ПО ТЕХНИЧЕСКИМ ОСОБЕННОСТЯМ, ТК СУММА ПО ЗАПРАШИВАЕМОМУ КРЕДИТУ НА РЕФИНАНСИРОВАНИЕ ПРЕВЫШАЕТ ОДОБРЕННУЮ БАНКОМ. И предложил мне оформить ТАКЖЕ ОДОБРЕННОЕ ПАРАЛЛЕЛЬНО БАНКОМ ПРЕДЛОЖЕНИЕ НА КРЕДИТ НАЛИЧНЫМИ СО СТАВКОЙ +10% К ОЗВУЧЕННОЙ НА РЕФИНАНСИРОВАНИЕ!!!! Т. е. Банк одобрил заявку (В ЗАЯВКЕ Я ПРОПИСЫВАЛА СУММУ КРЕДИТА, ЧТО ХОЧУ ЗАКРЫТЬ!), но сумму меньшую да и выдать её банк также не в силах, тк суммы для закрытия задолженности по указанному к рефинансированию кредиту не хватает. Это просто какой-то сюр! Оставила претензию (5-3067644594853) - после чего начались бесконечные звонки сотрудников, которые на все мои вопросы отвечали, что у меня есть же по-мимо кредитная карта, которая попадает под одобренный лимит и всячески указывая, что я могу закрыть её, раз банк не одобрил нужную сумму.. Приходилось каждому ""на пальцах"" объяснять, что мне это не нужно и что если бы я хотела закрыть кредитную карту, то я бы и указывала в заявке именно карту! А на мою претензию (где я требовала от банка разобраться в ситуации, где заявка с указанной мной суммой одобрена, но суммой меньше и даже при моем согласии на эту сумму технически нет возможности выдать кредит) пришла лишь смс со следующим текстом: ""Мы проверили консультацию, информация не подтвердилась. Спасибо, что помогаете нам стать лучше."" ЧТО БЛИН ВЫ ТАМ УПОТРЕБЛЯЕТЕ?!? Я никому не рекомендую тратить время на этот НЕДОбанк - у них одна цель - впарить вам своих кредиток с воровскими процентными ставками, а более-менее нормальные продукты по сути у них отсутствуют! Точнее они есть, но их как бы нет (как мой ""одобренный"" кредит!). P. S. Кстати, я клиент не новый - ранее благополучно закрывала 2 ккарты в этом хм-хм.. банке.",0
"Добрый день! Неоднократно поступают звонки по должнику в Тинькофф банке. С данным человеком я связь не поддерживаю почти год, о чем не раз говорила сотрудникам данного банка при каждом мне от них звонке. Не брать трубку от неизвестных номеров я не могу в связи с работой. Первое время шла навстречу банка, дала все контактные номера должника (какие имелись), по просьбе сотрудников банка пыталась связаться с должником в соц.сетях. Должник на связь не выходит, бросает трубки о чем я сообщила в банк и мне пообещали что перестанут звонить. Но не тут то было, сегодня поступает звонок с номера +79202986693 и говорят что только могут на время преостановить обзвон или сократить количество звонков. Как это понимать??!!! Меня возмущает вранье со стороны сотрудников, которые мне звонят, одни обещают удалить номер из обзвона, другие этого не могут!!!",0
"В первый раз решила воспользоваться кредитной картой Тинькофф банк. Карта лежала дома не активирована, 13 сентября сделала покупку. Примерно посчитала ЛЬГОТНЫЙ ПЕРИОД 55 ДНЕЙ выходит на начало ноября. Однако, сегодня зашла в мобильное приложение, где увидела что мой так называемый льготный период истекает 22 октября. Это на пол месяца меньше чем я рассчитывала. Позвонив на горячую линию, мне пояснили что моя выписка формируется 28 числа каждого месяца, А С ЧЕГО ОНА ФОРМИРУЕТСЯ 28 ЧИСЛА ЕСЛИ КАРТА БЫЛА НЕ АКТИВНА, Я ЕЙ НЕ ПОЛЬЗОВАЛАСЬ. А ПРИ ЕЁ ПОЛУЧЕНИИ ВАШ СОТРУДНИК, пояснил, что период НАЧИНАЕТ ИДТИ С МОМЕНТА МОЕЙ ПЕРВОЙ ПОКУПКИ, ТО ЕСТЬ КОГДА Я АКТИВИРОВАЛА КАРТУ. Мошенники, вводите в заблуждение людей, обманываете. А так же у меня вычли какие то деньги за СТРАХОВКУ И СМС ИНФОРМИРОВАНИЕ. хотя эти услуги при выдаче карты не упоминались, об этом меня не предупреждали, а также я не получила НИ ОДНОЙ СМС ни о списании ни о пополнении счета, и за что получается содрали деньги???? Верните их обратно на счёт, либо буду писать дальше во все возможные инстанции. О том что вы вводите людей в заблуждение, проще говоря Ваш банк мошенники!!!!! Ужасный банк, люди, не ведитесь на их кредиты, карты и тп, у них ужасное обслуживание, информирование и дурят людей по полной программе.",0
"На самом дело уже накипело из-за участившегося намахалова со стороны ТБ.1) Ошибок в мобильном / интернет банке стало больше, за последний год пришлось несколько раз переустанавливать приложение, как то ночью нужно было сделать перевод внутри банка - и тут ждал сюрприз, приложение работает - а переводы нет. Пробовал раз 10, операция висит, потом появляется сообщение, что нет связи с сервером, проверьте не прошла ли операция и попробуйте еще через 5 минут.2) Для покупок зарубежом уже не подходит, особенно в валютах отличных от доллара-евро, очень похоже, что курсами валют искусно манипулируют, клиент всегда в проигрыше. Списание суммы из холда спешат провести уже на следующий - второй день, хотя раньше они висели по неделям (покупки в рублях при этом без изменений, также может висеть неделю). Расплачивался в тех же ТСП этой же картой пару лет назад, и это очень хорошо видно на контрасте. Карта другого банка при этом работает как раньше карта ТБ - холд неделя, часть покупок в пользу клиента, часть в пользу банка, и дельта не более 15-20 рублей.3) Лимиты на снятие в чужих банкоматах урезали со 150к до 100к, и туда теперь впихнули c2c переводы.4) Мили за операции с категорией ""связь"" и""сервис"" перестали начислять, а это к слову, не только мобильная связь, но и IP-телефония, хостинг, запчасти в partsdirect, оплата через robokassa и т.п.5) Поддержка в онлайн чате теперь чаще отфутболивает, нежели пытается помочь и решить проблему, иногда просто некомпетентна, нужно долго и нудно пробиваться до оформления обращения - там уже люди более компетентные.6) Продление вклада будет немного не на тех условиях, на которых был открыт первый. Простой пример - открываем вклад, ставим пополнение только в первые 30 дней, вклад заканчивается, по логике должен продлиться на тех же условиях, на тот же срок, ставка, понятное дело, актуальная на момент пролонгации. А на выходе вклад из не пополняемого (по истечении 30 дней), станет пополняемым  и -0.5% к ставке. Бинго! Частный случай п.7, с миру по нитке...7) И самое главное - честность, основная причина этого отзыва. Ее стало меньше,намного меньше, впрочем похоже по всей группе Тинькофф, Тинькофф страхование, кончено, безоговорочный лидер антирейтинга. Что касается банка - тут вместе с п.3 появились операции, приравненные к снятию наличных. И дальше доходит до смешного, пополняем карту другого банка через приложение другого банка - эквайер ставит свой MCC код, а эмитент Тинькофф- ставит тот, который ему удобно (тот, который они указывают в перечне операций, приравненных к снятию).Конкретно это МСС 6536, который у Тинькова превращается в 6538. Почему? Потому что 6536 в перечне нет, а значит нет и комиссии, нет расходования лимита, а 6538 - есть. Пишем эквайеру, говорим, в выписке 6536, а ТБ утверждает, что вы отправили 6538, какой же код вы отправили? Получаем ответ, что отправляем как в выписке 6536. И что самое смешное, МСС 6012 который тоже расходует лимит, ТБ вдруг обрабатывает корректно, и никаких разногласий и несоответствий по нему нет. Скрины все по операциям прилагал, ответ от эквайера тоже. И получаем на этот раз ""шедевральный"" ответ, МСС расходный и пополнения отличается, мол у нас расходный, а у другого банка он на пополнение, так или иначе это изъятие средств. Одним словом, мы как хотим, вне зависимости от того, что нам прислали, мы поставим тот MCC, который считаем выгодным нужным.Как итог - влетаем на комиссию (так как п.3 лимиты банк уже подрезал). Вопросов бы не было, если бы код или merchant_name был указан в перечне.Пожалуй, спрошу MasterCard, что они думают по этому поводу",0
"Если вы дорожите своими нервами - ни при каких обстоятельствах не имейте дел с кредитными продуктами этого банка!В Тинькофф-банке у меня была оформлена кредитная карта и потребительский кредит. Кредит я оформила в августе, по графику платежей я должна была вносить по нему 4820 руб. 7-го числа каждого месяца, начиная с сентября.Кредитной картой год не пользовалась вообще, в июле этого года сняла с нее 20 000 тыс. 1 августа полностью погасила всю сумму задолженности, которую на тот момент видела в своем интернет-банке (долг+проценты) и была полностью уверена, что по кредитке я больше ничего не должна. 26 сентября мне поступает первое за все время смс-сообщение банка, что у меня просрочен платеж по кредитной карте на сумму 143 руб. и будет начислен штраф. Я ни разу в жизни не допускала просрочек по кредитам, и, конечно, была в шоке. Звоню в банк и выясняю, что уже после внесения мной платежа проценты по кредитке были доначислены. Никаких оповещений я об этом не получала - равно как и никаких предварительных напоминаний о необходимости погашения, которые отправляют своим клиентам все нормальные банки.По утверждению сотрудников банка мне приходили пуш-уведомления. Я проверила список пуш-уведомлений в своем интернет-банке - ни единого уведомления там не зафиксировано.Я в тот же день погасила эту сумму и закрыла кредитную карту. Однако на этом дело не закончилось.29 сентября мне звонит от сотрудник отдела взысканий, который в ультимативной форме сообщает мне, что у меня просрочен платеж по потребительскому кредиту, начислен штраф, и я обязана сегодня же внести в банк 5224 руб. Я, опять же, в шоке, так как предыдущий платеж по этому кредиту в размере 4820 руб. внесла 5 сентября, и абсолютно уверена, что никаких просроченных задолженностей у меня нет. Ничего внятного по поводу того, каким образому меня опять образовалась какая-то просроченная задолженность, позвонивший мне сотрудник не сообщил.Вернувшись домой, я подняла документы и убедилась, что  дата следующего платежа у меня действительно 7 октября.  Эта же информация была в моем интернет-банке. Я позвонила в контакт-центр банка. Сотрудники долго разбирались, в конце концов мне сказали, что меня ""неправильно проконсультировали"" (это так мягко они назвали наезд их сотрудника отдела взыскания). Также они объяснили, что по договору о комплексном обслуживании в случае, если допускается просрочка по одному изкредитных продуктов, очередной платеж по остальным продуктам мне ""рекомендуется"" вносить заранее. Так что я должна внести сегодня сумму очередного платежа по моему кредиту в размере 4820 руб., а информация о начисленном мне штрафе была ошибочной.Ок, деньги я внесла, хотя это и было крайне неудобно - ведь я рассчитывала внести эту сумму на неделю позднее. Когда я внесла на счет обслуживания кредитной карты указанную сумму, мне приходит смс, что я должна банку еще 404 руб. Я опять звоню в банк, и требую выслать мне официальныйдокумент с печатью, что на сегодняшний день у меня никаких просроченных задолженностей в этом банке нет. В итоге половина выходного дня потрачена на разборки с сотрудниками банка, настроение безнадежно испорчено и нервы на пределе. При этом лично у меня возникло впечатление, что банк намеренно спровоцировалвозникновение этой просрочки по кредитке для того, чтобы платежи по потребительскому кредиту с меня раньше срока требовать. За 20 лет активного пользования кредитными продуктами разных банков в такую отвратительную ситуациюпопадаю впервые. Разумеется, больше никаких дел я с этим банком иметь не буду - и никому не советую!",0
"Банк знаю давно очень. И мне он не нравиться. Но только этот банк одобрил сумму нужную нам с супругом. В общем взяли мы кредит под залог недвижимости и 16.09 всё подписали. И Росреестр всё не как не проведет процедуру, хотя документы поступленны 17.09 и пошлина оплачена. Обещали 5 дней. А в итоге уже сколько дней все это длиться. Обещали разобраться а сами молчат. Если бы сказали что придется ждать больше 5 дней и не известно сколько, мы бы отказались. Денег обещанных не дали, а уже сроки погашения есть. Сколько ждать то, когда вы решите вопрос и начислите деньги?",0
"Тинькофф, всегда нравился ваш банк, но последний раз очень сильно разочарован вами! Подавал заявку на автокредит со взносом более 50%, пришел отказ... (Кредитная история идеальна!!! Идеальная!!!!) Главное в августе брал кредит наличными у вас же с нагрузкой 50 тыс в месяц при зп 90 тыс. 160 тыс (одобряли лимит в 430 тыс на 3 года!), Закрыл потреб через 1,5 месяца досрочно, а так же погасил другие кредиты где нагрузка спала в 2 раза! Тут же просил автокредит на 450 тыс (на 5 лет) со взносом 460 тыс, отказ... НАПОМНЮ КРИСТАЛЬНО ЧИСТАЯ КРЕДИТНАЯ ИСТОРИЯ!!! Я не пойму, вам не важно что человек всегда четко платит по кредитам??? В чем проблема??? Откройте посмотрите КИ мою! Очень расстроен! И ещё лишний раз хочу напомнить чтобы в эквифакс передали данные о закрытии потреб кредита, а то до сих пор висит как активный!!! Который закрыл я 21.09.2019!!! Сроки давно вышли.",0
"12 сентября 2019 года после принудительного снятия брокеромв 10:37 заявки на IPO Cloudflare (Компания повысила диапазон цены размещения), мною была повторно подана заявка на 1120 шт. акций по цене не выше 14.77$ заакцию. С утра 13.09.19г. в профильных новостях я узнал, что CloudFlare разместился на NYSE по цене 15$ за акцию, для разъяснения данной ситуации, пытаясь развеять свои опасения в очередном снятии заявки, в 09.08 обратился в чат, мне ответил «Премиум»-менеджер Алина, что ""на мою заявку это никак не повлияет, что бумаги будут поставлены по цене  не выше 14.77$, по какой цене разместились бумаги на бирже в данном случае не имеет значения"" см. https://cloud.mail.ru/public/HCjg/uVEstHaxyhttps://cloud.mail.ru/public/LTuK/AukjUtACK, я задал вопрос о возможном уменьшении аллокации в таком случае, однако, вразумительного ответа я неполучил https://cloud.mail.ru/public/K6pz/UEF2jktDg Акции CloudFlare я тоже не получил, по причине принудительного снятия брокером моей заявки в 12:2813.09.19г.  Далее менеджер Дмитрий пытался заменить извинения на аляповатое предложение купить акции Cloudflare со вторичного рынка ОТС и направить освободившиеся средства на краткосрочные идеи,которые могут скрасить ожидание следующего IPO, что не одно и то же, что получить акции по цене IPO см. https://cloud.mail.ru/public/5Wii/vG7ZkVZE3 На мое замечание о том, что брокер в лице менеджера Алины дезинформировала меняпо факту последствий  повышения цены размещения до 15$ за акцию и ее заверений, что данный факт никак не повлияет намою заявку и бумаги будут мне поставлены, от Дмитрия получил откровенную ложь, чтоАлина и он в том числе, не обладали информацией о повышении цены, хотя даже я донес до неё даннуюинформацию перед началом беседы в чате и, несмотря на мою глубокую уверенностьв том, что сотрудники отдела Премиум Тинькофф инвестиций обязаны знать актуальнуюинформацию о текущих размещениях, а не узнавать новости от клиентов см. https://cloud.mail.ru/public/33qE/5qR5JvhzV https://cloud.mail.ru/public/3DH9/c83TnCBT7 . Другиеменеджеры Премиум более правдиво относятся к информированию клиентов о причинахснятия заявок, брокер банально не успевал переподать заявки в связи с поднятием ценысм. https://cloud.mail.ru/public/54Sb/JUPrwTnH3 . В итоге имеемнерасторопность брокера, откровенную ложь со стороны сотрудников, упущенныевозможности для клиентов -  в первый день акции CloudFlare выросли на 28% и убытки от использования маржинального кредитования по причине снижения доллара США к рублю. По последнему моментумогу пояснить, что не стремлюсь участвовать во всех IPO и так как аналитика от вашего брокера оставляет желать лучшего - вы предлагаете участвовать в абсолютно всех IPO,предоставляемых вам Атоном, в том числе таких провальных как DouYu,SmileDirectClub, Peloton, не руководствуясь при этом интересами клиентов, я анализирую эмитента акций сам, поэтому не желая продавать бумаги с брокерского счета, для участия в перспективном IPO CloudFlare использовал плечо, однако, я не учел риска невыполнения вами своих обязательств по оперативному изменению диапазона цены и не поставке акций на мой брокерский счет, а также риска вашего контрагента Атона, на которого ссылается ваш менеджер Дмитрий и о котором много отрицательной информации. Также обнаружил в отчете брокера Тинькофф инвестиции, что несмотря на запрет использование бумаг с моего брокерского счета в овернайт, 26.09.19 в 10.17.44 акции Alexion Pharmaceutic были проданы в РЕПО https://cloud.mail.ru/public/hVFw/249tFNzP7. Оставляю за собой право обращения с жалобой в ЦБ РФ поданным фактам.",0
"Несколько месяцев не могут убрать рекламу из мобильного приложения. Обращался несколько раз, каждый раз говорили ждать, решим, открывали, закрывали обращения, потом всё повторялось, реклама опять всплывала, обновляли приложение и так далее. Ранее уже сталкивался с подобной рекламой, тоже отставлял отзыв здесь, помогло на несколько месяцев. Сейчас чтобы ускорить решение - тоже здесь пишу. Видимо отзыв на банки ру единственное средство борьбы с рекламой в тинькове.",0
"Являюсь клиентом банка Тинькофф по дебетовым продуктам , а также пользовался потребительским кредитом , который досрочно погасил без просрочек . 16.09.1019 года решил воспользоваться кредитом под залог автомобиля суммой 800.000 рублей . Отправил заявку через личный кабинет онлайн , получил предварительное одобрение . На утро 17.09.2019 года со мной связался сотрудник для уточнения параметров кредита. Разговаривал нагло , задавал вопросы , не касающиеся кредитования , а именно - наличие недвижимости в г.Москва в собственности , завал вопросы личного характера , хамил и перебивал меня . Потом быстро отправил заявку и через несколько секунд объявил об отрицательном решении . Я проверил запросы в своей кредитной истории и обнаружил , что банк Тинькофф запрашивал информацию по кредиту до 300.000 рублей . Сотрудник не хотел слышать про кредит под залог . Запрошена была сумма в несколько раз меньше предварительно одобренной . Сотрудник либо некомпетентен , либо с умыслом отправил некорректную заявку , при этом насмехаясь над уровнем дохода и обеспеченности клиента , т.е. меня . Потрудитесь объяснить , на каком основании , я - москвич , имеющий возможность предоставить дорогостоящий залог , должен терпеть насмешки сотрудника , который принимает заявку на кредит , глупые вопросы , типа : Вы что , ничего не имеете ? или У вас что , кроме автомобиля ничего больше нет ?Почему сотрудник отправил заявку на другие параметры кредита ? У меня нет слов , дальше слушать буду вас ….",0
